Job:M.G2,Y,X,RL,FEATURE
B,2932825.628,423639.439,127.892,M.G2.B
A,2932823.433,423474.424,127.855,CP
201,2932830.642,423639.49,129.247,BLD
202,2932830.663,423645.596,129.031,BLD
203,2932830.567,423625.223,128.725,BLD
204,2932813.319,423635.113,129.513,TREE
205,2932814.199,423640.458,129.082,TREE
206,2932816.563,423649.358,129.032,TREE
207,2932810.674,423638.724,128.992,TREE
208,2932807.422,423639.38,128.91,TREE
209,2932803.058,423629.228,127.963,CONTOUR
210,2932803.113,423642.016,127.887,CONTOUR
211,2932811.935,423652.111,127.917,CONTOUR
212,2932825.66,423652.062,127.956,CONTOUR
213,2932825.074,423668.723,129.46,TREE
C,2932740.918,423642.263,127.75,CP
301,2932754.02,423665.002,128.457,TREE
302,2932756.625,423653.207,128.659,TREE
303,2932763.109,423648.324,128.456,TREE
304,2932748.479,423668.434,130.193,TREE
305,2932754.062,423672.989,128.131,TREE
306,2932768.864,423659.856,128.311,TREE
307,2932768.867,423659.855,128.311,TREE
308,2932769.534,423651.221,128.393,TREE
309,2932774.458,423654.537,128.967,POLE
310,2932762.987,423646.032,129.056,POLE
311,2932786.13,423643.679,128.917,POLE
312,2932729.676,423643.139,128.502,TREE
313,2932704.205,423659.402,131.263,POLE
314,2932740.592,423648.896,129.677,POLE
315,2932747.389,423640.921,127.81,CNTR
316,2932750.784,423642.597,127.83,CNTR
317,2932752.368,423650.846,127.854,CNTR
318,2932747.683,423657.421,127.808,CNTR
319,2932738.28,423650.179,127.804,RD.S1
320,2932738.415,423637.202,127.798,RD.S1
321,2932733.669,423637.879,127.744,RD.S2
322,2932733.629,423645.49,127.766,RD.S2
D,2932728.953,423624.722,127.778,CP
401,2932767.827,423680.519,129.124,TREE
402,2932673.981,423626.258,129.594,TREE
403,2932687.381,423620.897,129.949,TREE
404,2932683.871,423635.438,130.021,TREE
405,2932741.115,423630.776,128.817,BLDNG
406,2932741.121,423623.708,128.8,BLDNG
407,2932714.857,423618.797,128.686,BLDNG
408,2932706.867,423618.802,128.767,BLDNG
409,2932695.884,423618.788,128.986,BLDNG
411,2932710.218,423621.03,127.821,RD.S1
410,2932718.81,423621,127.837,RD.S1
412,2932720.086,423625.899,127.727,RD.S1
413,2932725.954,423625.786,127.721,RD.S1
414,2932717.052,423626.58,127.748,CNTR
415,2932703.559,423623.359,127.883,CNTR
416,2932697.523,423630.949,127.907,CNTR
417,2932698.341,423635.453,127.908,CNTR
418,2932724.287,423619.563,129.316,PILLAR
419,2932732.904,423619.555,129.155,PILLAR
420,2932732.656,423612.824,129.031,PILLAR
421,2932724.754,423612.839,129.031,PILLAR
422,2932724.754,423612.839,129.031,PILLAR
423,2932727.735,423616.254,128.143,CORIDOR
424,2932727.466,423610.524,128.139,CORIDOR
425,2932730.123,423610.513,128.168,CORIDOR
426,2932730.234,423614.381,128.141,CORIDOR
427,2932731.717,423602.409,128.551,CORIDOR
E,2932728.636,423462.722,128.157,CP
501,2932698.518,423469.726,129.632,TREE
502,2932732.343,423468.552,129.701,TREE
503,2932738.241,423468.321,129.689,TREE
504,2932740.138,423461.979,129.689,TREE
505,2932755.901,423469.744,129.642,TREE
506,2932734.663,423460.918,129.703,POLES
507,2932725.327,423468.391,129.701,POLES
508,2932725.618,423461.309,129.712,POLES
509,2932705.742,423461.958,129.656,POLES
510,2932642.509,423495.197,129.454,POLES
511,2932709.657,423464.024,128.066,ROAD
512,2932709.818,423466.788,128.004,ROAD
513,2932748.764,423465.676,129.663,ROAD
514,2932748.87,423462.886,129.665,ROAD
515,2932730.161,423488.957,129.646,CORI POLE
